SRARunAccession	SRAFileUrl
SRR28675246	https://sra-pub-src-2.s3.amazonaws.com/SRR28675246/PAE49128_pass_79a6c48c_93.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675246/SRR28675246.1
SRR28675247	https://sra-pub-src-2.s3.amazonaws.com/SRR28675247/PAE49128_pass_79a6c48c_92.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675247/SRR28675247.1
SRR28675248	https://sra-pub-src-2.s3.amazonaws.com/SRR28675248/PAE49128_pass_79a6c48c_91.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675248/SRR28675248.1
SRR28675250	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675250/SRR28675250.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675250/PAE49128_pass_79a6c48c_9.fast5.1
SRR28675251	https://sra-pub-src-2.s3.amazonaws.com/SRR28675251/PAE49128_pass_79a6c48c_89.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675251/SRR28675251.1
SRR28675252	https://sra-pub-src-2.s3.amazonaws.com/SRR28675252/PAE49128_pass_0c2fd855_118.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675252/SRR28675252.1
SRR28675253	https://sra-pub-src-2.s3.amazonaws.com/SRR28675253/PAE49128_pass_79a6c48c_174.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675253/SRR28675253.1
SRR28675254	https://sra-pub-src-2.s3.amazonaws.com/SRR28675254/PAE49128_pass_79a6c48c_173.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675254/SRR28675254.1
SRR28675255	https://sra-pub-src-2.s3.amazonaws.com/SRR28675255/PAE49128_pass_79a6c48c_155.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675255/SRR28675255.1
SRR28675256	https://sra-pub-src-2.s3.amazonaws.com/SRR28675256/PAE49128_pass_79a6c48c_154.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675256/SRR28675256.1
SRR28675258	https://sra-pub-src-2.s3.amazonaws.com/SRR28675258/PAE49128_pass_79a6c48c_169.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675258/SRR28675258.1
SRR28675259	https://sra-pub-src-2.s3.amazonaws.com/SRR28675259/PAE49128_pass_79a6c48c_168.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675259/SRR28675259.1
SRR28675260	https://sra-pub-src-2.s3.amazonaws.com/SRR28675260/PAE49128_pass_79a6c48c_167.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675260/SRR28675260.1
